,bic,bic_min_order
0,"             0            1            2
0 -9797.232205 -9799.244988 -9792.920286
1 -9798.705313 -9792.813061 -9784.851845
2 -9792.905196 -9785.625529 -9779.485348
3 -9785.646444 -9778.353682 -9776.979990
4 -9778.453494 -9771.165737 -9771.409073","(0, 1)"
1,"             0            1            2
0 -5478.663559 -5472.340446 -5465.033514
1 -5472.335526 -5465.030999 -5458.366889
2 -5465.037527 -5458.469009 -5496.256541
3 -5457.956594 -5451.996199 -5452.896334
4 -5452.320365 -5446.178035 -5439.911502","(2, 2)"
2,"              0             1             2
0 -10720.169922 -10727.452083 -10720.172297
1 -10727.189816 -10720.175962 -10712.853946
2 -10720.118559 -10712.867360 -10706.674210
3 -10713.206782 -10707.651482 -10702.444544
4 -10708.283971 -10701.636265 -10695.171874","(0, 1)"
3,"             0            1            2
0 -9843.648808 -9840.872677 -9834.504112
1 -9840.615203 -9833.917080 -9828.672474
2 -9834.908671 -9829.205016 -9829.451274
3 -9830.971970 -9823.703934 -9822.263182
4 -9823.795911 -9817.974120 -9816.237356","(0, 0)"
4,"             0            1            2
0 -9080.374382 -9079.874559 -9072.585293
1 -9079.799203 -9072.841020 -9065.366122
2 -9072.569251 -9066.432417 -9059.289529
3 -9065.280738 -9059.622820 -9052.035921
4 -9058.963318 -9054.220108 -9066.730029","(0, 0)"
5,"             0            1            2
0 -9008.868527 -9007.002811 -9001.221801
1 -9006.632664 -9003.087236 -8997.031975
2 -9001.528244 -8997.395731 -8990.411880
3 -8996.409987 -8990.398742 -8983.103595
4 -8991.193899 -8988.843229 -8981.650454","(0, 0)"
6,"             0            1            2
0 -8459.396960 -8473.802142 -8471.769733
1 -8475.605317 -8468.669725 -8491.531537
2 -8469.220968 -8488.714011 -8466.937350
3 -8473.552683 -8484.634392 -8482.480239
4 -8467.211298 -8478.004970 -8475.678869","(1, 2)"
7,"             0            1            2
0 -7920.821954 -7920.205612 -7912.907804
1 -7920.164659 -7912.974182 -7908.129592
2 -7912.862677 -7908.228908 -7907.184281
3 -7908.239338 -7903.185721 -7917.781420
4 -7904.000140 -7897.332466 -7896.130585","(0, 0)"
8,"             0            1            2
0 -9211.077175 -9249.714820 -9242.569015
1 -9249.088457 -9242.550968 -9235.549189
2 -9242.598892 -9234.463352 -9228.936583
3 -9235.287326 -9227.973812 -9223.793293
4 -9228.702960 -9221.659677 -9217.230491","(0, 1)"
9,"             0            1            2
0 -8871.964268 -8881.518800 -8874.772258
1 -8881.920518 -8874.633844 -8867.470772
2 -8874.643758 -8867.357911 -8862.294801
3 -8867.881886 -8861.212091 -8858.645267
4 -8863.664597 -8862.682877 -8858.990428","(1, 0)"
10,"             0            1            2
0 -9026.707506 -9030.644809 -9023.646381
1 -9030.149387 -9023.492261 -9017.056370
2 -9024.097328 -9017.332644 -9013.708195
3 -9018.221851 -9016.763175 -9009.596935
4 -9012.651080 -9009.594605 -9002.286046","(0, 1)"
11,"             0            1            2
0 -8790.572487 -8832.430660 -8826.087964
1 -8832.746825 -8825.840893 -8821.326312
2 -8825.944281 -8818.694602 -8816.710221
3 -8819.088895 -8814.074419 -8813.121525
4 -8817.216998 -8809.928616 -8806.350229","(1, 0)"
12,"             0            1            2
0 -9725.139599 -9722.144627 -9717.231608
1 -9721.797026 -9716.592161 -9711.679240
2 -9717.451326 -9712.256816 -9713.800342
3 -9712.393867 -9705.850064 -9706.728400
4 -9708.106258 -9703.067579 -9703.464412","(0, 0)"
13,"             0            1            2
0 -8382.762237 -8385.838191 -8378.935996
1 -8385.357237 -8378.735943 -8372.355711
2 -8379.367246 -8372.783635 -8369.478792
3 -8373.753269 -8366.631393 -8362.454658
4 -8366.706250 -8362.043629 -8354.735311","(0, 1)"
14,"             0            1            2
0 -8812.489821 -8828.018819 -8820.775578
1 -8828.016726 -8820.783263 -8813.503748
2 -8820.774733 -8813.484503 -8806.190670
3 -8813.529425 -8806.219306 -8807.308907
4 -8806.261176 -8799.132984 -8800.022276","(0, 1)"
15,"             0            1            2
0 -9228.817297 -9248.903642 -9244.097445
1 -9250.731945 -9244.427367 -9237.322988
2 -9244.345012 -9237.513034 -9230.266111
3 -9237.075561 -9230.281338 -9223.087282
4 -9230.070191 -9223.079563 -9215.769593","(1, 0)"
16,"             0            1            2
0 -8382.026810 -8388.499011 -8383.984154
1 -8389.455065 -8382.728988 -8376.992287
2 -8383.238788 -8376.720739 -8372.384106
3 -8378.000381 -8372.436064 -8365.352236
4 -8372.245825 -8365.355788 -8358.054903","(1, 0)"
17,"             0            1            2
0 -9304.414913 -9336.698983 -9329.390405
1 -9335.210348 -9329.389377 -9322.317835
2 -9329.908369 -9323.282199 -9319.438582
3 -9323.829723 -9316.563887 -9315.576970
4 -9316.754165 -9310.680359 -9311.706076","(0, 1)"
18,"             0            1            2
0 -8700.328236 -8695.630115 -8688.561894
1 -8695.566621 -8700.853270 -8693.589059
2 -8688.478119 -8693.594307 -8692.465425
3 -8681.684073 -8688.824680 -8688.182233
4 -8675.323297 -8686.153631 -8684.757783","(1, 1)"
19,"             0            1            2
0 -9436.283004 -9442.211081 -9434.902406
1 -9441.890818 -9434.899953 -9430.068389
2 -9435.393718 -9431.893712 -9437.841656
3 -9436.853016 -9430.469876 -9431.089943
4 -9432.416680 -9432.547556 -9428.075290","(0, 1)"
20,"             0            1            2
0 -6734.122248 -6735.867145 -6728.558425
1 -6735.796330 -6728.559380 -6721.247882
2 -6728.532068 -6721.251704 -6718.508963
3 -6721.915956 -6718.719701 -6719.188346
4 -6721.027572 -6713.840011 -6713.573919","(0, 1)"
21,"             0            1            2
0 -8180.288394 -8195.648175 -8188.469862
1 -8194.963814 -8188.508404 -8181.260964
2 -8188.261629 -8181.308761 -8174.259341
3 -8181.701090 -8174.441785 -8167.252622
4 -8174.466299 -8167.206531 -8159.848190","(0, 1)"
22,"             0            1            2
0 -6985.206527 -7048.665244 -7044.257083
1 -7039.271784 -7044.212556 -7034.994323
2 -7042.172553 -7037.035298 -7030.227905
3 -7038.542017 -7043.357831 -7036.159323
4 -7032.963720 -7036.118905 -7028.982641","(0, 1)"
23,"             0            1            2
0 -9942.038945 -9938.251954 -9930.941993
1 -9938.246995 -9930.940886 -9923.627889
2 -9930.945681 -9923.630126 -9920.931746
3 -9924.142075 -9916.867567 -9919.098018
4 -9917.064985 -9911.618432 -9917.063134","(0, 0)"
24,"             0            1            2
0 -9987.330954 -9980.166464 -9972.933228
1 -9980.164424 -9977.970184 -9970.862266
2 -9972.917633 -9970.872239 -9970.355158
3 -9967.144908 -9964.389843 -9961.758022
4 -9960.054148 -9957.152106 -9954.494069","(0, 0)"
